driver_id,first,last,phone,office_id
DRV5438,Ayanda,Sithole,078-978-1818,NDK-NLP
DRV5439,Sibusiso,Sithole,066-369-5980,NDK-NLP
DRV5440,Ayanda,Nkosi,072-745-4062,NDK-NLP
DRV5441,Karabo,Dlamini,065-178-3250,NDK-NLP
DRV5442,Thabo,Mahlangu,086-707-5320,NDK-NLP
DRV5443,Sipho,Khumalo,079-367-9870,NDK-NLP
DRV5444,Thabo,Mahlangu,080-604-4224,NDK-NLP
DRV5445,Sipho,Dlamini,083-314-7326,NDK-NLP
DRV5446,Thandi,Radebe,085-311-6416,NDK-NLP
DRV5447,Sipho,Dlamini,062-530-3345,NDK-NLP
DRV5448,Sipho,Mahlangu,062-218-7260,NDK-NLP
DRV5449,Ayanda,Nkosi,060-461-8913,NDK-NLP
DRV5450,Sibusiso,Nkosi,071-101-5373,NDK-NLP
DRV5451,Lerato,Dlamini,068-679-4239,NDK-NLP
DRV5452,Sipho,Dlamini,066-448-5718,NDK-NLP
DRV5453,Sipho,Moyo,073-371-5683,NDK-NLP
DRV5454,Sibusiso,Sithole,084-844-9230,NDK-NLP
DRV5455,Thandi,Khumalo,070-905-8277,NDK-NLP
DRV5456,Thabo,Sithole,087-130-1108,NDK-NLP
DRV5457,Thandi,Sithole,068-963-7901,NDK-NLP
DRV5458,Ayanda,Moyo,060-214-7733,NDK-NLP
DRV5459,Sibusiso,Nkosi,071-720-5177,NDK-NLP
DRV5460,Thandi,Radebe,062-236-9522,NDK-NLP
DRV5461,Thabo,Mokoena,064-491-4296,NDK-NLP
DRV5462,Mpho,Mabena,068-556-5855,NDK-NLP
DRV5463,Mpho,Mabena,068-670-2177,NDK-NLP
DRV5464,Sibusiso,Mokoena,075-270-6310,NDK-NLP
DRV5465,Naledi,Mokoena,079-831-5600,NDK-NLP
DRV5466,Thandi,Dlamini,083-484-2721,NDK-NLP
DRV5467,Mpho,Molefe,073-750-7477,NDK-NLP
DRV5468,Thabo,Moyo,077-952-4509,NDK-NLP
DRV5469,Lerato,Mahlangu,088-584-1751,NDK-NLP
DRV5470,Mpho,Mahlangu,073-404-5278,NDK-NLP
DRV5471,Naledi,Khumalo,064-865-9392,NDK-NLP
DRV5472,Mpho,Mabena,070-743-7706,NDK-NLP
DRV5473,Sibusiso,Dlamini,064-291-1731,NDK-NLP
DRV5474,Naledi,Khumalo,081-177-8489,NDK-NLP
DRV5475,Karabo,Molefe,088-823-9837,NDK-NLP
DRV5476,Sipho,Molefe,071-785-8463,NDK-NLP
DRV5477,Mpho,Radebe,064-530-9894,NDK-NLP
DRV5478,Lerato,Mabena,071-851-9699,NDK-NLP
DRV5479,Karabo,Khumalo,075-897-8560,NDK-NLP
